timestamp_ms,setpoint_rpm,actual_rpm
9740,100,94
9750,100,94
9760,100,94
9770,100,85
9780,100,102
9790,100,94
9800,100,94
9810,100,94
9820,100,94
9830,100,94
9840,100,94
9850,100,85
9860,100,102
9870,100,94
9880,100,94
9890,100,94
9900,100,94
9910,100,94
9920,100,85
9930,100,102
9940,100,94
9950,100,94
9960,100,94
9970,100,94
9980,100,94
9990,100,94
10000,100,85
10010,100,102
10020,100,94
10030,100,94
10040,100,94
10050,100,94
10060,100,94
10070,100,94
10080,100,94
10090,100,94
10100,100,94
10110,100,94
10120,100,94
10130,100,85
10140,100,102
10150,100,94
10160,100,94
10170,100,94
10180,100,94
10190,100,94
10200,100,94
10210,100,94
10220,100,85
10230,100,102
10240,100,94
10250,100,94
10260,100,94
10270,100,94
10280,100,94
10290,100,94
10300,100,94
10310,100,94
10320,100,94
10330,100,94
10340,100,94
10350,100,94
10360,100,94
10370,100,94
10380,100,94
10390,100,94
10400,100,94
10410,100,94
10420,100,85
10430,100,102
10440,100,94
10450,100,94
10460,100,94
10470,100,94
10480,100,94
10490,100,94
10500,100,94
10510,100,94
10520,100,85
10530,100,102
10540,100,94
10550,100,94
10560,100,94
10570,100,94
10580,100,94
10590,100,94
10600,100,94
10610,100,94
10620,100,94
10630,100,94
10640,100,94
10650,100,94
10660,100,94
10670,100,94
10680,100,85
10690,100,102
10700,100,94
10710,100,94
10720,100,94
10730,100,94
10740,100,94
10750,100,94
10760,100,94
10770,100,94
10780,100,94
10790,100,94
10800,100,85
10810,100,102
10820,100,94
10830,100,94
10840,100,94
10850,100,94
10860,100,94
10870,100,94
10880,100,94
10890,100,94
10900,100,94
10910,100,94
10920,100,94
10930,100,94
10940,100,94
10950,100,94
10960,100,94
10970,100,94
10980,100,85
10990,100,102
11000,100,94
11010,100,94
11020,100,94
11030,100,94
11040,100,94
11050,100,94
11060,100,102
11070,100,94
11080,100,94
11090,100,94
11100,100,94
11110,100,94
11120,100,94
11130,100,94
11140,100,94
11150,100,94
11160,100,94
11170,100,102
11180,100,94
11190,100,94
11200,100,94
11210,100,94
11220,100,94
11230,100,94
11240,100,94
11250,100,94
11260,100,102
11270,100,94
11280,100,85
11290,100,102
11300,100,94
11310,100,94
11320,100,94
11330,100,94
11340,100,102
11350,100,94
11360,100,94
11370,100,85
11380,100,102
11390,100,94
11400,100,94
11410,100,94
11420,100,102
11430,100,94
11440,100,94
11450,100,94
11460,100,94
11470,100,94
11480,100,94
11490,100,94
11500,100,94
11510,100,94
11520,100,94
11530,100,102
11540,100,94
11550,100,94
11560,100,94
11570,100,94
11580,100,94
11590,100,94
11600,100,94
11610,100,94
11620,100,94
11630,100,102
11640,100,94
11650,100,94
11660,100,94
11670,100,94
11680,100,94
11690,100,94
11700,100,94
11710,100,94
11720,100,94
11730,100,94
11740,100,102
